zone_id,farm_id,crop_type,latitude,longitude,blue_band,green_band,red_band,red_edge_band,nir_band,ndvi,ndre,thermal_temperature,soil_moisture,humidity,temperature,rainfall,wind_speed,historical_pest_risk,pest_probability,crop_stress,canopy_anomaly,stress_category,pest_zone,irrigation_required,spraying_priority,priority_category,anomaly_score,anomaly_detected,anomaly_category
ZONE-0001,FARM-004,Wheat,10.81157746858144,77.09945936378635,0.6767408223353133,0.3475806793811535,0.2348845064126496,0.7067200880780962,0.8194669559306345,0.5544468955085079,0.0738748205341682,40.42417208741445,54.88311694544132,59.13776595661564,30.315181953485425,3.425702250302425,9.488205738705409,0.1059167347057709,0.3886460147958867,0.5246075435483405,0.7715259953557968,Moderate Stress,Moderate Risk,0,45.85935424965978,Medium,0.32947074264953197,0,Normal
ZONE-0002,FARM-005,Tomato,11.063664343773857,76.80105139905932,0.2474230554908054,0.35845766068632,0.511455065145825,0.7412697522951703,0.7082059662952175,0.161315918736053,-0.0228108430966088,41.36239603054861,48.75963649973502,75.61781887077433,38.34965583126957,22.443514569010144,3.268835870308985,0.6459404619066152,0.7731555764250878,0.7797710596252895,0.9255174128056796,Severe Stress,High Risk,0,78.52729853903898,High,0.08809279776869368,0,Normal
ZONE-0003,FARM-003,Maize,10.89447996823768,76.80828892674252,0.1054565081814515,0.7751915580893578,0.376629834091878,0.7059946546379445,0.3680616430675151,-0.0115056768896686,-0.314632200993714,36.64926063502719,42.03710630941731,45.14019303421756,28.73347146144652,12.78646393608988,8.914819411483013,0.1132716369636687,0.4414085902510487,0.736207463385873,1.0,Severe Stress,Moderate Risk,0,58.08232683251007,Medium,0.2542389678854152,0,Normal
ZONE-0004,FARM-005,Maize,10.83869367237815,77.04715215455136,0.3602848219109961,0.5333237365528221,0.1104762479170467,0.7360664130429697,0.8769024779969714,0.7762223691300155,0.0873147513393442,38.9884068766526,17.90604434753363,79.19199603330101,38.19597007303457,29.76986822581689,24.27262368939474,0.906626565755372,0.6623942539334133,0.4914446135740306,0.7579953406219215,Moderate Stress,High Risk,1,64.98727560110706,Medium,0.23009916409872244,0,Normal
ZONE-0005,FARM-005,Tomato,10.940538371126124,76.85983880604991,0.3153822578122052,0.6617985765202737,0.1183072461108979,0.5016404248752022,0.8963426526133353,0.766801081515521,0.2823367119082008,23.652348616026373,71.26971474170676,82.19486278500894,35.76315585271188,18.86151180392993,1.4788266108343473,0.7038686541253535,0.4217034674180408,0.1840119025049026,0.5729084340800876,Healthy,Moderate Risk,0,40.129326161413765,Medium,0.33203491294230614,0,Normal
ZONE-0006,FARM-002,Tomato,10.979491822708804,76.81823078051887,0.4234534031240763,0.1794952143072095,0.4062373070064244,0.8956265021477736,0.5112219381021496,0.114429624232166,-0.2732378839183641,29.67937235912783,71.26013786898348,40.40841554695673,38.22166250939151,15.958676852779268,20.93302737324076,0.2262067399707336,0.3989048039213946,0.5247484342609716,0.9265172932605328,Moderate Stress,Moderate Risk,0,49.85299600290723,Medium,0.10302319100294606,0,Normal
ZONE-0007,FARM-003,Tomato,10.809291181026754,76.87114442197095,0.5780637163419072,0.2192488508454417,0.2190968134884803,0.7395508411108611,0.7004115647228853,0.5234473542517434,-0.0271807437809948,28.616222297644292,53.61307579797994,45.99864458319761,37.873250190766655,16.717954691335407,24.84691991234492,0.2792116610234281,0.3015773598284912,0.4716792899756226,0.8022595790876597,Moderate Stress,Low Risk,0,42.547370188099954,Medium,0.22803646854033277,0,Normal
ZONE-0008,FARM-003,Cotton,10.882468697477126,76.92783004619426,0.6054584812902682,0.679449024560685,0.4802773312940825,0.6050760036959899,0.6200126476200627,0.1269985113064201,0.0121922864241217,33.29903131238138,32.41247983528002,62.77335641537017,30.7000172066331,19.24685432368726,11.473726578823737,0.7099737174181607,0.6624702980844677,0.7744317708715307,0.7494432612756108,Severe Stress,High Risk,1,71.38550263326273,High,0.5442282263703141,1,Anomalous
ZONE-0009,FARM-003,Maize,10.80983996228307,77.01916988113001,0.3407379997670151,0.5553072071214632,0.3653246581518139,0.8539338888226367,0.9123154496093844,0.42812554177758,0.0330539558953888,25.66710589348369,16.82851786252801,73.2462041844579,28.09801097861364,21.95487833037192,23.633328849833173,0.8241199350559775,0.5167212464856755,0.5423004203997758,0.7120046790455188,Moderate Stress,Moderate Risk,1,58.44273824009123,Medium,0.27808791804722244,0,Normal
ZONE-0010,FARM-005,Maize,10.92610061675865,76.98730065796536,0.3579074462238101,0.2741383198511319,0.5253728931008198,0.8357388376206127,0.6306865464166782,0.0910970133705231,-0.1398312887956877,33.267626412539954,15.092872270853324,73.24948007449058,36.833186499361815,2.3496550567816588,7.267476843456708,0.8394299872814838,0.6444747469315794,0.7804908570382517,0.8956826649756914,Severe Stress,Moderate Risk,1,74.24562917051884,High,0.08140933594909788,0,Normal
